Variable,Supplier,n,mean,stdev,variance,min,q1,median,q3,max,range,iqr,mode
Voltage (V),Supplier 1,25,3.57,0.79,0.63,1.74,3.06,3.59,4.09,4.96,3.22,1.03,[3.59]
Voltage (V),Supplier 2,25,3.02,0.64,0.41,1.94,2.57,3.11,3.48,4.22,2.28,0.91,"[3.11, 2.81]"
Circuit 1 (V),Supplier 1,25,1,0.02,0,0.96,0.99,1.01,1.01,1.05,0.09,0.02,[1.01]
Circuit 1 (V),Supplier 2,25,0.99,0.03,0,0.91,0.98,1,1.01,1.04,0.13,0.03,[1.01]
Circuit 2 (V),Supplier 1,25,5.51,1.79,3.19,2.09,3.51,6.34,6.81,7.57,5.48,3.3,[6.69]
Circuit 2 (V),Supplier 2,25,3.76,1.73,3,0.84,2.85,3.23,5.28,7.78,6.94,2.43,"[3.23, 3.04]"
Circuit 3 (V),Supplier 1,25,6.2,1.53,2.34,3.27,5.09,6.5,7.04,9.55,6.28,1.95,None
Circuit 3 (V),Supplier 2,25,5.85,1.55,2.41,2.37,5.48,6.11,6.7,9.16,6.79,1.22,"[6.7, 5.69]"
